IVV: iShares Core S&P 500 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2026-01-16
Total Assets Under Management (in thousands):	766197000
Shares Outstanding: 1102350000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETF Database Category: Large Cap Growth Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IVV


Holding,Symbol,Weighting
"United Parcel Service, Inc. Class B",UPS,0.133%
"Equinix, Inc.",EQIX,0.1326%
"DoorDash, Inc. Class A",DASH,0.1292%
"NIKE, Inc. Class B",NKE,0.1289%
Western Digital Corporation,WDC,0.1275%
General Motors Company,GM,0.1269%
"Williams Companies, Inc.",WMB,0.1265%
HCA Healthcare Inc,HCA,0.1262%
"Mondelez International, Inc. Class A",MDLZ,0.1244%
"Regeneron Pharmaceuticals, Inc.",REGN,0.1244%
Aon Plc Class A,AON,0.1244%
Corning Inc,GLW,0.1237%
Cigna Group,CI,0.1224%
"Marriott International, Inc. Class A",MAR,0.1222%
Seagate Technology Holdings PLC,STX,0.1197%
TE Connectivity plc,TEL,0.1194%
"Warner Bros. Discovery, Inc. Series A",WBD,0.1192%
Ecolab Inc.,ECL,0.1189%
Royal Caribbean Group,RCL,0.1179%
Johnson Controls International plc,JCI,0.1179%
Hilton Worldwide Holdings Inc.,HLT,0.1177%
SLB Limited,SLB,0.1175%
"Quanta Services, Inc.",PWR,0.1172%
Illinois Tool Works Inc.,ITW,0.1171%
"Cencora, Inc.",COR,0.1158%
Colgate-Palmolive Company,CL,0.1147%
CSX Corporation,CSX,0.1137%
FedEx Corporation,FDX,0.1126%
Apollo Global Management Inc,APO,0.1125%
Cintas Corporation,CTAS,0.1124%
"Motorola Solutions, Inc.",MSI,0.1123%
Arthur J. Gallagher & Co.,AJG,0.1118%
Norfolk Southern Corporation,NSC,0.1098%
L3Harris Technologies Inc,LHX,0.1091%
"American Electric Power Company, Inc.",AEP,0.1081%
Truist Financial Corporation,TFC,0.1077%
PACCAR Inc,PCAR,0.1073%
Carvana Co. Class A,CVNA,0.1055%
"Ross Stores, Inc.",ROST,0.1053%
"Simon Property Group, Inc.",SPG,0.1017%
Sempra,SRE,0.1017%
"Travelers Companies, Inc.",TRV,0.1012%
NXP Semiconductors NV,NXPI,0.1005%
"Air Products and Chemicals, Inc.",APD,0.1002%
"Becton, Dickinson and Company",BDX,0.1%
"United Rentals, Inc.",URI,0.0987%
"AutoZone, Inc.",AZO,0.0986%
Sandisk Corporation,SNDK,0.097%
"IDEXX Laboratories, Inc.",IDXX,0.0962%
"EOG Resources, Inc.",EOG,0.0962%
"Autodesk, Inc.",ADSK,0.0953%
Realty Income Corporation,O,0.0951%
Valero Energy Corporation,VLO,0.0942%
Monster Beverage Corporation,MNST,0.0939%
Phillips 66,PSX,0.0938%
"Airbnb, Inc. Class A",ABNB,0.0936%
"Coinbase Global, Inc. Class A",COIN,0.0926%
"Zoetis, Inc. Class A",ZTS,0.0925%
Kinder Morgan Inc Class P,KMI,0.0922%
Ford Motor Company,F,0.0896%
"PayPal Holdings, Inc.",PYPL,0.0896%
Vistra Corp.,VST,0.0893%
"Chipotle Mexican Grill, Inc.",CMG,0.089%
Marathon Petroleum Corporation,MPC,0.0889%
"Digital Realty Trust, Inc.",DLR,0.0889%
Dominion Energy Inc,D,0.0879%
Aflac Incorporated,AFL,0.087%
Baker Hughes Company Class A,BKR,0.086%
Target Corporation,TGT,0.0851%
"Cardinal Health, Inc.",CAH,0.085%
"CBRE Group, Inc. Class A",CBRE,0.0847%
Allstate Corporation,ALL,0.0847%
Axon Enterprise Inc,AXON,0.0845%
Fastenal Company,FAST,0.0845%
"AMETEK, Inc.",AME,0.0836%
"Monolithic Power Systems, Inc.",MPWR,0.0833%
Edwards Lifesciences Corporation,EW,0.0824%
"Fortinet, Inc.",FTNT,0.0802%
"Ameriprise Financial, Inc.",AMP,0.0801%
Corteva Inc,CTVA,0.0792%
"ONEOK, Inc.",OKE,0.0789%
"W.W. Grainger, Inc.",GWW,0.0787%
"Rockwell Automation, Inc.",ROK,0.0785%
Public Storage,PSA,0.0781%
Electronic Arts Inc.,EA,0.0772%
"Delta Air Lines, Inc.",DAL,0.0769%
"Nasdaq, Inc.",NDAQ,0.0767%
MSCI Inc. Class A,MSCI,0.0762%
Exelon Corporation,EXC,0.0761%
"Roper Technologies, Inc.",ROP,0.0754%
Xcel Energy Inc.,XEL,0.0753%
Carrier Global Corp.,CARR,0.0749%
"Yum! Brands, Inc.",YUM,0.0749%
Entergy Corporation,ETR,0.0725%
"D.R. Horton, Inc.",DHI,0.0719%
"Republic Services, Inc.",RSG,0.0715%
"MetLife, Inc.",MET,0.0715%
eBay Inc.,EBAY,0.0708%
"Take-Two Interactive Software, Inc.",TTWO,0.0702%
Cognizant Technology Solutions Corporation Class A,CTSH,0.0689%
"Workday, Inc. Class A",WDAY,0.0683%
IQVIA Holdings Inc,IQV,0.0682%
Microchip Technology Incorporated,MCHP,0.068%
Vulcan Materials Company,VMC,0.068%
Nucor Corporation,NUE,0.0672%
Targa Resources Corp.,TRGP,0.067%
"Agilent Technologies, Inc.",A,0.0667%
Public Service Enterprise Group Inc,PEG,0.0667%
Crown Castle Inc.,CCI,0.0666%
"Comfort Systems USA, Inc.",FIX,0.0664%
